Store_Id,Store_Name,City,City_Latitude,City_Longitude,Store_Type,Opening_Date,Year,Month,Day
STR001,San Antonio Regular #1,San Antonio,29.4241,-98.4936,Regular,2021-05-20,2021,5,20
STR002,Charlotte Regular #2,Charlotte,35.2271,-80.8431,Regular,2015-11-09,2015,11,9
STR003,Portland Superstore #3,Portland,45.5152,-122.6784,Superstore,2018-02-08,2018,2,8
STR004,Nashville Superstore #4,Nashville,36.1627,-86.7816,Superstore,2017-08-21,2017,8,21
STR005,Austin Regular #5,Austin,30.2672,-97.7431,Regular,2022-04-04,2022,4,4
STR006,Houston Superstore #6,Houston,29.7604,-95.3698,Superstore,2021-09-20,2021,9,20
STR007,Chicago Superstore #7,Chicago,41.8781,-87.6298,Superstore,2023-08-29,2023,8,29
STR008,Los Angeles Regular #8,Los Angeles,34.0522,-118.2437,Regular,2016-05-30,2016,5,30
STR009,Philadelphia Superstore #9,Philadelphia,39.9526,-75.1652,Superstore,2019-06-05,2019,6,5
STR010,Portland Regular #10,Portland,45.5152,-122.6784,Regular,2015-11-24,2015,11,24
STR011,Las Vegas Superstore #11,Las Vegas,36.1699,-115.1398,Superstore,2017-08-06,2017,8,6
STR012,Louisville Superstore #12,Louisville,38.2527,-85.7585,Superstore,2020-03-06,2020,3,6
STR013,San Jose Superstore #13,San Jose,37.3382,-121.8863,Superstore,2015-11-14,2015,11,14
STR014,Seattle Superstore #14,Seattle,47.6062,-122.3321,Superstore,2017-06-02,2017,6,2
STR015,Charlotte Regular #15,Charlotte,35.2271,-80.8431,Regular,2021-06-24,2021,6,24
STR016,Jacksonville Regular #16,Jacksonville,30.3322,-81.6557,Regular,2020-07-14,2020,7,14
STR017,Louisville Superstore #17,Louisville,38.2527,-85.7585,Superstore,2017-08-12,2017,8,12
STR018,Nashville Regular #18,Nashville,36.1627,-86.7816,Regular,2020-12-06,2020,12,6
STR019,Dallas Superstore #19,Dallas,32.7767,-96.797,Superstore,2022-11-30,2022,11,30
STR020,Houston Express #20,Houston,29.7604,-95.3698,Express,2015-09-09,2015,9,9
STR021,Columbus Regular #21,Columbus,39.9612,-82.9988,Regular,2022-11-18,2022,11,18
STR022,Dallas Superstore #22,Dallas,32.7767,-96.797,Superstore,2021-11-29,2021,11,29
STR023,Los Angeles Regular #23,Los Angeles,34.0522,-118.2437,Regular,2018-09-10,2018,9,10
STR024,Charlotte Regular #24,Charlotte,35.2271,-80.8431,Regular,2017-01-11,2017,1,11
STR025,Jacksonville Regular #25,Jacksonville,30.3322,-81.6557,Regular,2024-03-30,2024,3,30
STR026,Charlotte Superstore #26,Charlotte,35.2271,-80.8431,Superstore,2018-08-29,2018,8,29
STR027,Denver Superstore #27,Denver,39.7392,-104.9903,Superstore,2016-06-18,2016,6,18
STR028,San Diego Regular #28,San Diego,32.7157,-117.1611,Regular,2016-07-01,2016,7,1
STR029,Philadelphia Superstore #29,Philadelphia,39.9526,-75.1652,Superstore,2023-04-04,2023,4,4
STR030,Houston Superstore #30,Houston,29.7604,-95.3698,Superstore,2021-01-23,2021,1,23
STR031,Boston Regular #31,Boston,42.3601,-71.0589,Regular,2022-11-23,2022,11,23
STR032,Los Angeles Regular #32,Los Angeles,34.0522,-118.2437,Regular,2022-03-13,2022,3,13
STR033,Houston Regular #33,Houston,29.7604,-95.3698,Regular,2020-06-15,2020,6,15
STR034,Seattle Regular #34,Seattle,47.6062,-122.3321,Regular,2024-05-21,2024,5,21
STR035,Columbus Superstore #35,Columbus,39.9612,-82.9988,Superstore,2019-01-14,2019,1,14
STR036,Louisville Express #36,Louisville,38.2527,-85.7585,Express,2020-08-06,2020,8,6
STR037,Portland Regular #37,Portland,45.5152,-122.6784,Regular,2023-02-04,2023,2,4
STR038,Boston Regular #38,Boston,42.3601,-71.0589,Regular,2021-03-13,2021,3,13
STR039,Memphis Regular #39,Memphis,35.1495,-90.049,Regular,2023-05-21,2023,5,21
STR040,Fort Worth Superstore #40,Fort Worth,32.7555,-97.3308,Superstore,2020-10-28,2020,10,28
STR041,Charlotte Superstore #41,Charlotte,35.2271,-80.8431,Superstore,2021-12-20,2021,12,20
STR042,Louisville Express #42,Louisville,38.2527,-85.7585,Express,2016-01-16,2016,1,16
STR043,Memphis Regular #43,Memphis,35.1495,-90.049,Regular,2017-09-06,2017,9,6
STR044,San Diego Superstore #44,San Diego,32.7157,-117.1611,Superstore,2018-03-27,2018,3,27
STR045,Austin Superstore #45,Austin,30.2672,-97.7431,Superstore,2016-05-07,2016,5,7
STR046,San Diego Regular #46,San Diego,32.7157,-117.1611,Regular,2017-09-22,2017,9,22
STR047,New York Regular #47,New York,40.7128,-74.006,Regular,2016-07-15,2016,7,15
STR048,San Jose Regular #48,San Jose,37.3382,-121.8863,Regular,2018-02-17,2018,2,17
STR049,Dallas Express #49,Dallas,32.7767,-96.797,Express,2021-05-08,2021,5,8
STR050,Dallas Regular #50,Dallas,32.7767,-96.797,Regular,2018-11-30,2018,11,30
STR051,Los Angeles Superstore #51,Los Angeles,34.0522,-118.2437,Superstore,2018-12-17,2018,12,17
STR052,Detroit Regular #52,Detroit,42.3314,-83.0458,Regular,2017-07-07,2017,7,7
STR053,Memphis Regular #53,Memphis,35.1495,-90.049,Regular,2018-01-12,2018,1,12
STR054,Jacksonville Regular #54,Jacksonville,30.3322,-81.6557,Regular,2024-01-22,2024,1,22
STR055,Chicago Regular #55,Chicago,41.8781,-87.6298,Regular,2021-06-18,2021,6,18
STR056,Phoenix Express #56,Phoenix,33.4484,-112.074,Express,2021-02-10,2021,2,10
STR057,Chicago Regular #57,Chicago,41.8781,-87.6298,Regular,2017-03-03,2017,3,3
