Store_Id,Store_Name,City,Store_Type,Opening_Date
STR001,San Antonio Regular #1,San Antonio,Regular,2021-05-20
STR002,Charlotte Regular #2,Charlotte,Regular,2015-11-09
STR003,Portland Superstore #3,Portland,Superstore,2018-02-08
STR004,Nashville Superstore #4,Nashville,Superstore,2017-08-21
STR005,Austin Regular #5,Austin,Regular,2022-04-04
STR006,Houston Superstore #6,Houston,Superstore,2021-09-20
STR007,Chicago Superstore #7,Chicago,Superstore,2023-08-29
STR008,Los Angeles Regular #8,Los Angeles,Regular,2016-05-30
STR009,Philadelphia Superstore #9,Philadelphia,Superstore,2019-06-05
STR010,Portland Regular #10,Portland,Regular,2015-11-24
STR011,Las Vegas Superstore #11,Las Vegas,Superstore,2017-08-06
STR012,Louisville Superstore #12,Louisville,Superstore,2020-03-06
STR013,San Jose Superstore #13,San Jose,Superstore,2015-11-14
STR014,Seattle Superstore #14,Seattle,Superstore,2017-06-02
STR015,Charlotte Regular #15,Charlotte,Regular,2021-06-24
STR016,Jacksonville Regular #16,Jacksonville,Regular,2020-07-14
STR017,Louisville Superstore #17,Louisville,Superstore,2017-08-12
STR018,Nashville Regular #18,Nashville,Regular,2020-12-06
STR019,Dallas Superstore #19,Dallas,Superstore,2022-11-30
STR020,Houston Express #20,Houston,Express,2015-09-09
STR021,Columbus Regular #21,Columbus,Regular,2022-11-18
STR022,Dallas Superstore #22,Dallas,Superstore,2021-11-29
STR023,Los Angeles Regular #23,Los Angeles,Regular,2018-09-10
STR024,Charlotte Regular #24,Charlotte,Regular,2017-01-11
STR025,Jacksonville Regular #25,Jacksonville,Regular,2024-03-30
STR026,Charlotte Superstore #26,Charlotte,Superstore,2018-08-29
STR027,Denver Superstore #27,Denver,Superstore,2016-06-18
STR028,San Diego Regular #28,San Diego,Regular,2016-07-01
STR029,Philadelphia Superstore #29,Philadelphia,Superstore,2023-04-04
STR030,Houston Superstore #30,Houston,Superstore,2021-01-23
STR031,Boston Regular #31,Boston,Regular,2022-11-23
STR032,Los Angeles Regular #32,Los Angeles,Regular,2022-03-13
STR033,Houston Regular #33,Houston,Regular,2020-06-15
STR034,Seattle Regular #34,Seattle,Regular,2024-05-21
STR035,Columbus Superstore #35,Columbus,Superstore,2019-01-14
STR036,Louisville Express #36,Louisville,Express,2020-08-06
STR037,Portland Regular #37,Portland,Regular,2023-02-04
