Store_Id,Department,Year_Month,Sales_Target,Sales_Actual,Sales_Variance,Sales_Target_Achievement_Pct,Customer_Satisfaction,Nps_Score,Waste_Percentage,On_Time_Delivery,Operational_Efficiency_Status
STR001,Store Operations,2022-01-01,153000,164399.59,11399.589999999997,107.45,7.4,47,0.73,98.6,High Efficiency
STR001,Fresh Produce,2022-01-01,38250,39851,1601,104.19,8.5,51.5,2.73,92.4,High Efficiency
STR001,Meat/Fish & Bakery,2022-01-01,29750,30829.76,1079.7599999999984,103.63,5.6,-24.1,3.64,92.3,High Efficiency
STR002,Store Operations,2022-01-01,153000,143176.34,-9823.660000000003,93.58,6.8,14.6,1.68,87.6,Standard
STR002,Fresh Produce,2022-01-01,38250,38637.44,387.4400000000023,101.01,6.1,3.3,4.43,94.3,High Efficiency
STR002,Meat/Fish & Bakery,2022-01-01,29750,27071.37,-2678.630000000001,91,8.4,63.3,3.04,92.1,Standard
STR003,Store Operations,2022-01-01,275400,274842.43,-557.570000000007,99.8,6.4,31.2,0.97,90.3,Standard
STR003,Fresh Produce,2022-01-01,68850,97543.03,28693.03,141.67,8.7,67.2,5.69,96.6,Standard
STR003,Meat/Fish & Bakery,2022-01-01,53550,52621.06,-928.9400000000023,98.27,7.2,11.8,4.4,91.8,Standard
STR004,Store Operations,2022-01-01,275400,219768.73,-55631.26999999999,79.8,6.6,5.4,1.7,94.4,Low Efficiency
STR004,Fresh Produce,2022-01-01,68850,61859.09,-6990.9100000000035,89.85,8.1,67.7,5.09,96.8,Low Efficiency
STR004,Meat/Fish & Bakery,2022-01-01,53550,51885.94,-1664.0599999999977,96.89,6.9,4.9,1.72,97.3,Standard
STR005,Store Operations,2022-01-01,153000,127609.61,-25390.39,83.4,6.3,28.3,1.83,98.1,Low Efficiency
STR005,Fresh Produce,2022-01-01,38250,32295.45,-5954.549999999999,84.43,7.4,53.1,4.25,96.4,Low Efficiency
STR005,Meat/Fish & Bakery,2022-01-01,29750,29590.13,-159.86999999999898,99.46,9.1,32,1.59,96.5,Standard
STR006,Store Operations,2022-01-01,358020,281828.84,-76191.15999999997,78.72,8.5,74.4,0.87,94.1,Low Efficiency
STR006,Fresh Produce,2022-01-01,89505,109346.84,19841.839999999997,122.17,7,17.5,5.72,92.5,Standard
STR006,Meat/Fish & Bakery,2022-01-01,69615,74851.25,5236.25,107.52,8.7,67,2.15,94.9,High Efficiency
STR007,Store Operations,2022-01-01,358020,363233.36,5213.359999999986,101.46,8.5,48.8,0.84,93,High Efficiency
STR007,Fresh Produce,2022-01-01,89505,106605.83,17100.83,119.11,7.2,-5.7,2.89,95,High Efficiency
STR007,Meat/Fish & Bakery,2022-01-01,69615,66036.29,-3578.7100000000064,94.86,6.7,21.5,3.32,95.2,Standard
STR008,Store Operations,2022-01-01,198900,170763.9,-28136.100000000006,85.85,8.9,67.8,0.95,89,Low Efficiency
STR008,Fresh Produce,2022-01-01,49725,50174.24,449.23999999999796,100.9,10,86.4,2.58,94.9,High Efficiency
STR008,Meat/Fish & Bakery,2022-01-01,38675,40646.39,1971.3899999999994,105.1,7.5,51.4,4.17,90.6,High Efficiency
STR009,Store Operations,2022-01-01,275400,308077.53,32677.530000000028,111.87,6.6,42.9,1.45,89.8,High Efficiency
STR009,Fresh Produce,2022-01-01,68850,59755.18,-9094.82,86.79,7.6,34.1,2.75,96.8,Low Efficiency
STR009,Meat/Fish & Bakery,2022-01-01,53550,54350.45,800.4499999999971,101.49,7,6.7,3.76,94.2,High Efficiency
STR010,Store Operations,2022-01-01,153000,165308.91,12308.910000000003,108.05,6.6,31,0.71,93.5,High Efficiency
